Participant, ROI, FA, MSD, MSK, NDI, ODI, Fiso
2,Ant_Internal_Capsule_L,0.5433472,0.9111683,1.3652477,0.8748238,0.2570213,0.1867101
2,Post_Internal_Capsule_R,0.5520040,0.9059755,1.3592616,0.8612094,0.2500958,0.1794979
2,Post_Internal_Capsule_L,0.5838530,0.9895693,1.4347930,0.9255325,0.2479473,0.2229195
2,Retrolent_Internal_Capsule_R,0.5482719,0.9252688,1.2839412,0.7772550,0.2341904,0.1796888
2,Retrolent_Internal_Capsule_L,0.5370831,0.8925993,1.4012900,0.8740691,0.2688043,0.1854347
2,Ant_Corona_Radiata_R,0.5381272,0.9150976,1.3815487,0.8711968,0.2598644,0.1837354
2,Ant_Corona_Radiata_L,0.5507718,0.8554979,1.4417247,0.8996547,0.2696806,0.1634132
2,Sup_Corona_Radiata_R,0.5524160,0.8858219,1.3815152,0.8485625,0.2535098,0.1756396
2,Sup_Corona_Radiata_L,0.5507053,0.8717630,1.3808448,0.8872931,0.2584825,0.1671570
2,Post_Corona_Radiata_R,0.5479938,0.9032252,1.3830919,0.8536134,0.2529996,0.1830561
3,Middle_Cerebellar_Ped,0.5277922,0.8992363,1.3666838,0.8538166,0.2646359,0.1844150
3,Pontine_Crossing_Tract,0.5643088,0.8693275,1.3561129,0.8129657,0.2387292,0.1597349
3,Corpus_Callosum_Genu,0.5882936,0.9205040,1.4298451,0.9000648,0.2367421,0.1918864
3,Corpus_Callosum_Body,0.5481426,0.9057100,1.3421126,0.8289787,0.2486366,0.1814215
3,Corpus_Callosum_Splenium,0.5678595,0.9131270,1.3372074,0.8473639,0.2348760,0.1817997
3,Fornix_(Column&Body),0.5929914,0.8285437,1.4558399,0.8895089,0.2451936,0.1483292
3,Corticospinal_Tract_R,0.5569722,0.8250500,1.4010381,0.8352890,0.2516861,0.1425742
3,Corticospinal_Tract_L,0.5840226,0.8525281,1.4107872,0.8592760,0.2364718,0.1539368
3,Medial_Lemniscus_R,0.5138300,0.9500338,1.3037428,0.8387896,0.2609373,0.2033849
3,Medial_Lemniscus_L,0.5677801,0.8868727,1.3300309,0.8002304,0.2300611,0.1687807
3,Inf_Cerebellar_Ped_R,0.5648283,0.8619316,1.4791781,0.9054039,0.2586096,0.1672277
3,Inf_Cerebellar_Ped_L,0.5771445,0.8490615,1.4723694,0.9028200,0.2552487,0.1584767
3,Sup_Cerebellar_Ped_R,0.5717062,0.9090602,1.3488909,0.8213899,0.2325293,0.1826222
3,Sup_Cerebellar_Ped_L,0.5232010,0.9121217,1.3246728,0.8452324,0.2611203,0.1856361
3,Cerebral_Ped_R,0.5875447,0.8747636,1.3334256,0.7958024,0.2208233,0.1545533
3,Cerebral_Ped_L,0.5843892,0.8636220,1.4044608,0.8563615,0.2336632,0.1675813
3,Ant_Internal_Capsule_R,0.5255397,0.9572225,1.3208518,0.8483401,0.2594977,0.2100116
3,Ant_Internal_Capsule_L,0.6028852,0.8489506,1.5686855,0.9433363,0.2510462,0.1640891
3,Post_Internal_Capsule_R,0.5738940,0.8802319,1.3429181,0.8269473,0.2321018,0.1639611
3,Post_Internal_Capsule_L,0.5753455,0.8905348,1.3216006,0.8047411,0.2265333,0.1621338
3,Retrolent_Internal_Capsule_R,0.5228579,0.8815498,1.3624683,0.8806283,0.2820429,0.1698876
3,Retrolent_Internal_Capsule_L,0.5402559,0.9114357,1.3097901,0.8046788,0.2460189,0.1753963
3,Ant_Corona_Radiata_R,0.5824524,0.8574753,1.4055859,0.8760339,0.2437690,0.1616070
3,Ant_Corona_Radiata_L,0.5435548,0.8943257,1.4152114,0.8841558,0.2646239,0.1901290
3,Sup_Corona_Radiata_R,0.5607849,0.8913895,1.4390617,0.8954950,0.2540097,0.1804237
3,Sup_Corona_Radiata_L,0.5339838,0.9728885,1.3073138,0.8491068,0.2495329,0.2156309
3,Post_Corona_Radiata_R,0.4991099,0.9334293,1.4472342,0.9330358,0.2981882,0.2049821
4,Middle_Cerebellar_Ped,0.5653173,0.9253380,1.4286545,0.9184197,0.2473311,0.2072937
4,Pontine_Crossing_Tract,0.5199888,0.8983487,1.2996742,0.7971872,0.2594559,0.1715892
4,Corpus_Callosum_Genu,0.5619238,0.8929520,1.3554005,0.8256643,0.2388262,0.1793374
4,Corpus_Callosum_Body,0.5497912,0.9311474,1.5011907,0.9567265,0.2807639,0.1930171
4,Corpus_Callosum_Splenium,0.5897799,0.8785039,1.4039626,0.8645742,0.2299474,0.1727169
4,Fornix_(Column&Body),0.5582340,0.9004967,1.3498921,0.8436946,0.2483474,0.1767101
4,Corticospinal_Tract_R,0.5561607,0.8775771,1.3537800,0.8361414,0.2460747,0.1684192
4,Corticospinal_Tract_L,0.5694298,0.9085170,1.3792757,0.8585491,0.2374175,0.1861278
4,Medial_Lemniscus_R,0.5833114,0.9469197,1.3604711,0.8507786,0.2225323,0.1950110
4,Medial_Lemniscus_L,0.5295473,0.9728346,1.3079810,0.8320476,0.2486838,0.2078038
4,Inf_Cerebellar_Ped_R,0.5664325,0.9198277,1.3384481,0.8360682,0.2323103,0.1848707
4,Inf_Cerebellar_Ped_L,0.5521659,0.8823123,1.3015988,0.7819561,0.2384526,0.1537015
4,Sup_Cerebellar_Ped_R,0.5648082,0.8023672,1.4640584,0.9290833,0.2731349,0.1417561
4,Sup_Cerebellar_Ped_L,0.5311195,0.9579989,1.4239686,0.9015582,0.2735159,0.2056216
4,Cerebral_Ped_R,0.5938866,0.9333429,1.3216467,0.8092283,0.2142521,0.1861083
4,Cerebral_Ped_L,0.5279077,0.9265291,1.2769163,0.7912537,0.2458800,0.1824315
4,Ant_Internal_Capsule_R,0.5702097,0.9031648,1.3178734,0.8000257,0.2275269,0.1694076
4,Ant_Internal_Capsule_L,0.5303343,0.8778862,1.3922360,0.8745794,0.2711071,0.1767870
4,Post_Internal_Capsule_R,0.6170402,0.9641427,1.3409447,0.8479379,0.1976306,0.2133263
4,Post_Internal_Capsule_L,0.5740969,0.8671581,1.3043372,0.8172439,0.2315873,0.1586968
4,Retrolent_Internal_Capsule_R,0.5179315,0.9148615,1.4753545,0.9243774,0.2846114,0.1984167
4,Retrolent_Internal_Capsule_L,0.5025203,0.9451003,1.2911050,0.8056495,0.2616072,0.1962680
4,Ant_Corona_Radiata_R,0.5334825,0.9349540,1.3493776,0.8662728,0.2576698,0.2042283
4,Ant_Corona_Radiata_L,0.5467978,0.8994979,1.3958427,0.8916480,0.2652742,0.1803681
4,Sup_Corona_Radiata_R,0.5306239,0.9091381,1.4286954,0.8928772,0.2757435,0.1860151
4,Sup_Corona_Radiata_L,0.5591862,0.8855761,1.3094005,0.7981822,0.2371510,0.1631864
4,Post_Corona_Radiata_R,0.5809933,1.0038936,1.2730554,0.8054841,0.2074293,0.2199430
5,Middle_Cerebellar_Ped,0.5513700,0.9404698,1.3421353,0.8515530,0.2450164,0.2025918
5,Pontine_Crossing_Tract,0.5664268,0.8761241,1.3168932,0.8466058,0.2392245,0.1598436
5,Corpus_Callosum_Genu,0.5737500,0.9173125,1.3772797,0.8683943,0.2349576,0.1926312
5,Corpus_Callosum_Body,0.5779296,0.9062353,1.3374888,0.8192800,0.2246904,0.1827455
5,Corpus_Callosum_Splenium,0.6057985,0.8947047,1.3897960,0.8448997,0.2180464,0.1738303
5,Fornix_(Column&Body),0.5540524,0.9224211,1.3719858,0.8479270,0.2488110,0.1879593
5,Corticospinal_Tract_R,0.5197762,1.0019492,1.3122630,0.8699505,0.2596429,0.2283960
5,Corticospinal_Tract_L,0.6141883,0.8841308,1.3721199,0.8427137,0.2092859,0.1717121
5,Medial_Lemniscus_R,0.5544424,0.8749867,1.4574474,0.9046860,0.2740931,0.1643274
5,Medial_Lemniscus_L,0.5885035,0.9275062,1.3853632,0.8701257,0.2262551,0.2002945
5,Inf_Cerebellar_Ped_R,0.5710286,0.8482521,1.3815871,0.8341863,0.2434073,0.1517165
5,Inf_Cerebellar_Ped_L,0.5571142,0.8841063,1.2902780,0.7808788,0.2341786,0.1535302
5,Sup_Cerebellar_Ped_R,0.5403866,1.0016947,1.3606641,0.8974222,0.2478351,0.2393097
5,Sup_Cerebellar_Ped_L,0.5620571,0.9466563,1.3639850,0.8749190,0.2404855,0.1997760
5,Cerebral_Ped_R,0.5201079,1.0182749,1.2926304,0.8409633,0.2489308,0.2420634
5,Cerebral_Ped_L,0.6037722,0.8576506,1.4381641,0.8842599,0.2310560,0.1663366
5,Ant_Internal_Capsule_R,0.5766014,0.8899672,1.4109651,0.8770256,0.2427594,0.1785796
5,Ant_Internal_Capsule_L,0.5454768,0.8907646,1.3931680,0.8576866,0.2596649,0.1704366
5,Post_Internal_Capsule_R,0.6039019,0.8963976,1.3487873,0.8297804,0.2121402,0.1692811
5,Post_Internal_Capsule_L,0.5651596,0.8889117,1.2616595,0.8332499,0.2342651,0.1738514
5,Retrolent_Internal_Capsule_R,0.5348400,0.8392715,1.5199177,0.9322864,0.2874564,0.1555989
5,Retrolent_Internal_Capsule_L,0.5488292,0.9714666,1.3121268,0.8324278,0.2393711,0.2163924
5,Ant_Corona_Radiata_R,0.5508221,0.8669786,1.4599575,0.9077454,0.2687907,0.1648225
5,Ant_Corona_Radiata_L,0.5487499,0.9813839,1.3523445,0.8716236,0.2433887,0.2292786
5,Sup_Corona_Radiata_R,0.6062322,0.9456033,1.3682029,0.8570198,0.2124957,0.1974401
5,Sup_Corona_Radiata_L,0.5733365,0.8913609,1.3982359,0.8612892,0.2380788,0.1840140
5,Post_Corona_Radiata_R,0.5827401,0.9468721,1.2908239,0.8063304,0.2136713,0.1897205
6,Middle_Cerebellar_Ped,0.5517738,0.9607708,1.3039163,0.8170026,0.2354985,0.2007547
6,Pontine_Crossing_Tract,0.5502365,0.9033097,1.3907421,0.8902979,0.2593546,0.1866886
6,Corpus_Callosum_Genu,0.5256841,0.9447179,1.3082653,0.8174111,0.2526670,0.2009898
6,Corpus_Callosum_Body,0.5500211,0.8838271,1.3488770,0.8141773,0.2484821,0.1612287
6,Corpus_Callosum_Splenium,0.5721343,0.8952306,1.4003904,0.8604939,0.2387008,0.1794382
6,Fornix_(Column&Body),0.5637962,0.9441806,1.4218345,0.8977028,0.2485076,0.2033291
6,Corticospinal_Tract_R,0.5716190,0.8877449,1.3738699,0.8563135,0.2375776,0.1792438
6,Corticospinal_Tract_L,0.5294725,0.9333162,1.3025179,0.8085784,0.2506682,0.1905722
6,Medial_Lemniscus_R,0.5745664,0.9292390,1.3267043,0.8477846,0.2273472,0.1948713
6,Medial_Lemniscus_L,0.5213991,1.0021846,1.2883701,0.8196888,0.2457173,0.2174276
6,Inf_Cerebellar_Ped_R,0.5506628,0.9082890,1.3422855,0.8362411,0.2449176,0.1818515
6,Inf_Cerebellar_Ped_L,0.5468130,0.9493524,1.3589535,0.8698453,0.2475621,0.2054163
6,Sup_Cerebellar_Ped_R,0.5578966,0.9556504,1.3451289,0.8472384,0.2412255,0.2018516
6,Sup_Cerebellar_Ped_L,0.5551291,0.8500666,1.5538247,0.9446644,0.2816459,0.1667300
6,Cerebral_Ped_R,0.5524619,0.9344671,1.2895530,0.8074999,0.2380517,0.1873409
6,Cerebral_Ped_L,0.5642232,0.8656036,1.3990209,0.8592286,0.2443468,0.1711906
6,Ant_Internal_Capsule_R,0.5487098,0.9679991,1.3057918,0.8277758,0.2352319,0.2096426
6,Ant_Internal_Capsule_L,0.5443082,0.9450534,1.2684481,0.7802542,0.2352243,0.1802510
6,Post_Internal_Capsule_R,0.5631055,0.9360896,1.3510340,0.8606053,0.2403254,0.1977173
6,Post_Internal_Capsule_L,0.5410521,0.9166056,1.3353520,0.8221287,0.2458883,0.1848938
6,Retrolent_Internal_Capsule_R,0.5566760,0.9154897,1.3534153,0.8470755,0.2428488,0.1873226
6,Retrolent_Internal_Capsule_L,0.5719869,0.9162043,1.2503629,0.7584443,0.2143872,0.1623593
6,Ant_Corona_Radiata_R,0.5612384,1.0276866,1.3780464,0.9215611,0.2408086,0.2546619
6,Ant_Corona_Radiata_L,0.5788888,0.8559306,1.4755262,0.9044111,0.2493343,0.1655529
6,Sup_Corona_Radiata_R,0.5415336,0.9503418,1.3526160,0.8647051,0.2492757,0.2060459
6,Sup_Corona_Radiata_L,0.5788767,0.9042155,1.5341244,0.9624152,0.2545699,0.1953816
6,Post_Corona_Radiata_R,0.5290242,0.9411263,1.3372826,0.8536726,0.2588476,0.1974228
7,Middle_Cerebellar_Ped,0.5352220,0.9713301,1.2908146,0.8225046,0.2413725,0.2108659
7,Pontine_Crossing_Tract,0.5726401,0.7802824,1.5507190,0.9202334,0.2706402,0.1294926
7,Corpus_Callosum_Genu,0.5683905,0.8800290,1.3754393,0.8426289,0.2425205,0.1717050
7,Corpus_Callosum_Body,0.5577023,0.9056348,1.3836668,0.8779232,0.2491037,0.1813032
7,Corpus_Callosum_Splenium,0.5981783,0.8662231,1.4172066,0.8745900,0.2272489,0.1685400
7,Fornix_(Column&Body),0.5516105,0.8735133,1.3700625,0.8368027,0.2502278,0.1690774
7,Corticospinal_Tract_R,0.5299459,0.8748326,1.4974376,0.9286431,0.2832295,0.1773813
7,Corticospinal_Tract_L,0.5477824,0.8896419,1.4080614,0.8816025,0.2627880,0.1755229
7,Medial_Lemniscus_R,0.5012102,1.0450666,1.5529840,0.9831618,0.3282871,0.2454857
7,Medial_Lemniscus_L,0.5582166,0.8928251,1.3153812,0.7945916,0.2331928,0.1679383
7,Inf_Cerebellar_Ped_R,0.5639023,0.8679028,1.3791450,0.8702005,0.2501856,0.1676081
7,Inf_Cerebellar_Ped_L,0.5585290,0.9220160,1.3353897,0.8455280,0.2408514,0.1891655
7,Sup_Cerebellar_Ped_R,0.5435982,0.8988550,1.4315032,0.8945251,0.2646826,0.1841273
7,Sup_Cerebellar_Ped_L,0.5373611,0.9499369,1.3326697,0.8372589,0.2517161,0.1965277
7,Cerebral_Ped_R,0.5513600,0.9027725,1.3935323,0.8860209,0.2576451,0.1936685
7,Cerebral_Ped_L,0.5662442,0.8767832,1.4013809,0.8523435,0.2463902,0.1677836
7,Ant_Internal_Capsule_R,0.5809378,1.0243598,1.3189918,0.8619176,0.2151174,0.2394501
7,Ant_Internal_Capsule_L,0.6013806,0.8769686,1.3917801,0.8495118,0.2207245,0.1702723
7,Post_Internal_Capsule_R,0.5487341,0.9454056,1.2997145,0.8027651,0.2390585,0.1846288
7,Post_Internal_Capsule_L,0.5593421,0.8689350,1.4023456,0.8703526,0.2522474,0.1694921
7,Retrolent_Internal_Capsule_R,0.5816069,0.9115758,1.4772406,0.9232800,0.2475897,0.1996668
7,Retrolent_Internal_Capsule_L,0.5359566,0.9171502,1.3321134,0.8328419,0.2568310,0.1813018
7,Ant_Corona_Radiata_R,0.5770940,0.9687663,1.3637330,0.8706959,0.2283601,0.2184050
7,Ant_Corona_Radiata_L,0.6004083,0.8897948,1.4002981,0.8562975,0.2241227,0.1738325
7,Sup_Corona_Radiata_R,0.5305199,0.8729661,1.4310599,0.8995959,0.2721035,0.1772550
7,Sup_Corona_Radiata_L,0.5910276,0.9530348,1.3233801,0.8289805,0.2113332,0.1935848
7,Post_Corona_Radiata_R,0.5199603,0.9756291,1.3000995,0.8250924,0.2533490,0.2160065
8,Middle_Cerebellar_Ped,0.5351715,0.9956732,1.2948824,0.8394100,0.2387572,0.2184995
8,Pontine_Crossing_Tract,0.5060292,0.9646341,1.3541604,0.8667990,0.2723470,0.2071351
8,Corpus_Callosum_Genu,0.5513481,0.8698266,1.4596512,0.8957158,0.2673516,0.1719517
8,Corpus_Callosum_Body,0.5451590,0.8922094,1.5174418,0.9416857,0.2775975,0.1862235
8,Corpus_Callosum_Splenium,0.5544973,0.9189062,1.4618993,0.8836661,0.2597505,0.1888577
8,Fornix_(Column&Body),0.5587896,0.9038488,1.3683818,0.8437242,0.2456643,0.1812731
8,Corticospinal_Tract_R,0.5980349,0.8475485,1.4932967,0.9191754,0.2389347,0.1651748
8,Corticospinal_Tract_L,0.5363733,0.9798314,1.3289343,0.8504078,0.2454082,0.2139333
8,Medial_Lemniscus_R,0.5580620,0.8718155,1.3751529,0.8432306,0.2492554,0.1692737
8,Medial_Lemniscus_L,0.5420715,0.8747466,1.3716183,0.8684695,0.2604955,0.1760400
8,Inf_Cerebellar_Ped_R,0.5664977,0.9277999,1.3444763,0.8404785,0.2354496,0.1854352
8,Inf_Cerebellar_Ped_L,0.5404822,0.9271215,1.4168820,0.8990640,0.2647295,0.2016898
8,Sup_Cerebellar_Ped_R,0.5710399,0.9060668,1.4381788,0.9035804,0.2477117,0.1924119
8,Sup_Cerebellar_Ped_L,0.6155784,0.8846724,1.4415763,0.8908476,0.2203951,0.1807117
8,Cerebral_Ped_R,0.5229785,0.8494881,1.4423338,0.9081754,0.2843841,0.1644941
8,Cerebral_Ped_L,0.5227045,0.8879942,1.4223994,0.8792658,0.2754866,0.1763863
8,Ant_Internal_Capsule_R,0.5259028,0.9960614,1.3194035,0.8519869,0.2523334,0.2309270
8,Ant_Internal_Capsule_L,0.5886507,0.9105359,1.3859900,0.8566018,0.2244461,0.1883659
8,Post_Internal_Capsule_R,0.5531294,0.9605051,1.2811512,0.8039505,0.2297566,0.1958274
8,Post_Internal_Capsule_L,0.5740684,0.9651508,1.2814220,0.8008961,0.2141346,0.1975071
8,Retrolent_Internal_Capsule_R,0.5598999,0.9167889,1.3063873,0.7920479,0.2341604,0.1815165
8,Retrolent_Internal_Capsule_L,0.5611981,0.8667164,1.3972493,0.8528415,0.2464458,0.1630861
8,Ant_Corona_Radiata_R,0.5676281,0.8953219,1.3533120,0.8353000,0.2371235,0.1725576
8,Ant_Corona_Radiata_L,0.5519587,1.0100393,1.3010234,0.8380542,0.2297160,0.2268241
8,Sup_Corona_Radiata_R,0.5783665,0.8998038,1.3330351,0.8402635,0.2285351,0.1777370
8,Sup_Corona_Radiata_L,0.5155103,0.9902281,1.2687164,0.8138969,0.2478732,0.2153138
8,Post_Corona_Radiata_R,0.5502577,0.8928072,1.3853485,0.8493537,0.2559204,0.1819094
9,Middle_Cerebellar_Ped,0.5221003,1.0179915,1.3471140,0.8877593,0.2631178,0.2375227
9,Pontine_Crossing_Tract,0.5441678,0.8966524,1.3855639,0.8715255,0.2588196,0.1831060
9,Corpus_Callosum_Genu,0.5303054,0.9548752,1.3530474,0.8727835,0.2605699,0.2073203
9,Corpus_Callosum_Body,0.6003935,0.9002528,1.4130409,0.8748249,0.2262294,0.1886117
9,Corpus_Callosum_Splenium,0.5718161,0.8999458,1.3169413,0.7912551,0.2241757,0.1705630
9,Fornix_(Column&Body),0.5611667,0.9184582,1.3353215,0.8322880,0.2376651,0.1875720
9,Corticospinal_Tract_R,0.5237281,0.9600658,1.2715126,0.7858400,0.2522667,0.1957260
9,Corticospinal_Tract_L,0.5449895,0.9047543,1.3671082,0.8459598,0.2499977,0.1856711
9,Medial_Lemniscus_R,0.5452186,0.9131604,1.3288481,0.8154606,0.2459973,0.1848018
9,Medial_Lemniscus_L,0.5577222,1.0007893,1.2983498,0.8392036,0.2278482,0.2196986
9,Inf_Cerebellar_Ped_R,0.5831618,0.8803766,1.3996382,0.8613047,0.2320452,0.1829366
9,Inf_Cerebellar_Ped_L,0.5560351,0.8687214,1.3950343,0.8859661,0.2560866,0.1655384
9,Sup_Cerebellar_Ped_R,0.5408561,0.8838184,1.4061141,0.8728309,0.2675706,0.1825634
9,Sup_Cerebellar_Ped_L,0.5443763,0.9477215,1.3159410,0.8160443,0.2423499,0.1980918
9,Cerebral_Ped_R,0.5294019,0.9219943,1.2963186,0.8399631,0.2599694,0.1827543
9,Cerebral_Ped_L,0.5564897,0.9162033,1.3393010,0.8348531,0.2384865,0.1873174
9,Ant_Internal_Capsule_R,0.5798500,0.9191313,1.3637534,0.8521528,0.2270992,0.1940057
9,Ant_Internal_Capsule_L,0.5402898,0.8454829,1.4784023,0.8994005,0.2813043,0.1545641
9,Post_Internal_Capsule_R,0.5979676,0.9103847,1.3737319,0.8545081,0.2182629,0.1880885
9,Post_Internal_Capsule_L,0.5623441,0.9582867,1.3770330,0.8796456,0.2380308,0.2164593
9,Retrolent_Internal_Capsule_R,0.5766493,0.8985431,1.3894879,0.8637392,0.2366206,0.1824091
9,Retrolent_Internal_Capsule_L,0.5570180,0.9115422,1.4008987,0.8698717,0.2485311,0.1849287
9,Ant_Corona_Radiata_R,0.5583524,0.9544360,1.3312295,0.8409335,0.2351285,0.2024457
9,Ant_Corona_Radiata_L,0.5336320,0.9038290,1.3666734,0.8510590,0.2650893,0.1863016
9,Sup_Corona_Radiata_R,0.5837322,0.8529180,1.3662922,0.8266209,0.2308037,0.1521797
9,Sup_Corona_Radiata_L,0.5498828,0.8742475,1.4034495,0.8601446,0.2629496,0.1739955
9,Post_Corona_Radiata_R,0.5665246,0.9994625,1.2684704,0.7971636,0.2149743,0.2162940
10,Middle_Cerebellar_Ped,0.6019097,0.9253002,1.3599532,0.8610522,0.2158045,0.1931351
10,Pontine_Crossing_Tract,0.5604999,0.8888662,1.3910714,0.8609949,0.2475450,0.1763827
10,Corpus_Callosum_Genu,0.5751014,0.9450013,1.3169028,0.8312462,0.2210918,0.1963854
10,Corpus_Callosum_Body,0.5692336,0.8309802,1.5709636,0.9261836,0.2731992,0.1503090
10,Corpus_Callosum_Splenium,0.5436583,0.9991919,1.2358706,0.7629838,0.2208910,0.2101801
10,Fornix_(Column&Body),0.5682538,0.9110219,1.4135443,0.8860349,0.2418223,0.1911560
10,Corticospinal_Tract_R,0.5303659,1.0156762,1.2622014,0.8124342,0.2410461,0.2166320
10,Corticospinal_Tract_L,0.5811151,0.9053167,1.4194955,0.8849628,0.2389860,0.1871589
10,Medial_Lemniscus_R,0.5547198,0.9300993,1.3718718,0.8576479,0.2481551,0.2021027
10,Medial_Lemniscus_L,0.6009010,0.8609047,1.4423811,0.8782042,0.2296650,0.1672029
10,Inf_Cerebellar_Ped_R,0.5401007,0.8720638,1.3824748,0.8592914,0.2589209,0.1686339
10,Inf_Cerebellar_Ped_L,0.5494599,1.0260247,1.2656115,0.8102032,0.2248885,0.2220731
10,Sup_Cerebellar_Ped_R,0.5811443,0.9114936,1.5504441,0.9447871,0.2547787,0.1874930
10,Sup_Cerebellar_Ped_L,0.5611032,0.8836760,1.3950666,0.8625781,0.2467512,0.1801733
10,Cerebral_Ped_R,0.5791520,0.9071937,1.2985786,0.7807680,0.2157270,0.1703997
10,Cerebral_Ped_L,0.5318355,0.8813996,1.3203760,0.8240336,0.2583915,0.1737407
10,Ant_Internal_Capsule_R,0.5651566,0.8377726,1.3989404,0.8510638,0.2515705,0.1510190
10,Ant_Internal_Capsule_L,0.5477597,0.9082020,1.3406792,0.8287576,0.2447385,0.1802956
10,Post_Internal_Capsule_R,0.5393880,0.9015645,1.3268361,0.8135196,0.2473690,0.1732808
10,Post_Internal_Capsule_L,0.5099019,0.9003212,1.4216617,0.8917161,0.2887891,0.1905770
10,Retrolent_Internal_Capsule_R,0.5369820,0.9378396,1.3073436,0.8096251,0.2424256,0.1949171
10,Retrolent_Internal_Capsule_L,0.5292499,0.9368905,1.4311076,0.9174288,0.2756690,0.2022689
